generation=135, runtime=842.94s, best_objective=1455571.107500, note=checkpoint
generation=136, runtime=847.38s, best_objective=1455571.107500, note=checkpoint
generation=137, runtime=851.83s, best_objective=1455571.107500, note=checkpoint
generation=138, runtime=856.43s, best_objective=1455571.107500, note=checkpoint
generation=139, runtime=860.76s, best_objective=1455571.107500, note=checkpoint
generation=140, runtime=865.30s, best_objective=1455571.107500, note=checkpoint
generation=141, runtime=870.17s, best_objective=1455571.107500, note=checkpoint
generation=142, runtime=874.62s, best_objective=1455571.107500, note=checkpoint
generation=143, runtime=879.21s, best_objective=1455571.107500, note=checkpoint
generation=144, runtime=883.63s, best_objective=1455571.107500, note=checkpoint
generation=145, runtime=888.46s, best_objective=1455571.107500, note=checkpoint
generation=146, runtime=893.37s, best_objective=1455571.107500, note=checkpoint
generation=147, runtime=899.91s, best_objective=1455571.107500, note=checkpoint
generation=148, runtime=905.38s, best_objective=1455571.107500, note=checkpoint
generation=149, runtime=910.04s, best_objective=1455571.107500, note=checkpoint
generation=150, runtime=914.96s, best_objective=1455571.107500, note=checkpoint
generation=151, runtime=919.75s, best_objective=1455571.107500, note=checkpoint
generation=152, runtime=924.45s, best_objective=1455571.107500, note=checkpoint
generation=153, runtime=929.36s, best_objective=1455571.107500, note=checkpoint
generation=154, runtime=933.73s, best_objective=1455571.107500, note=checkpoint
generation=155, runtime=938.47s, best_objective=1455571.107500, note=checkpoint
generation=156, runtime=942.99s, best_objective=1455571.107500, note=checkpoint
generation=157, runtime=947.75s, best_objective=1455571.107500, note=checkpoint
generation=158, runtime=952.03s, best_objective=1455571.107500, note=checkpoint
generation=159, runtime=956.75s, best_objective=1455571.107500, note=checkpoint
generation=160, runtime=961.19s, best_objective=1455571.107500, note=checkpoint
generation=161, runtime=965.90s, best_objective=1455571.107500, note=checkpoint
generation=162, runtime=970.41s, best_objective=1455571.107500, note=checkpoint
generation=163, runtime=974.64s, best_objective=1455571.107500, note=checkpoint
generation=164, runtime=979.33s, best_objective=1455571.107500, note=checkpoint
generation=165, runtime=985.05s, best_objective=1455571.107500, note=checkpoint
generation=166, runtime=991.41s, best_objective=1455571.107500, note=checkpoint
generation=167, runtime=1002.01s, best_objective=1455571.107500, note=checkpoint
generation=168, runtime=1013.73s, best_objective=1455571.107500, note=checkpoint
generation=169, runtime=1020.37s, best_objective=1455571.107500, note=checkpoint
generation=170, runtime=1025.43s, best_objective=1455571.107500, note=checkpoint
generation=171, runtime=1030.39s, best_objective=1455571.107500, note=checkpoint
generation=172, runtime=1036.62s, best_objective=1455571.107500, note=checkpoint
generation=173, runtime=1041.59s, best_objective=1455571.107500, note=checkpoint
generation=174, runtime=1046.32s, best_objective=1455571.107500, note=checkpoint
generation=175, runtime=1051.15s, best_objective=1455571.107500, note=checkpoint
generation=176, runtime=1055.56s, best_objective=1455571.107500, note=checkpoint
generation=177, runtime=1060.12s, best_objective=1455571.107500, note=checkpoint
generation=178, runtime=1065.13s, best_objective=1455571.107500, note=checkpoint
generation=179, runtime=1069.65s, best_objective=1455571.107500, note=checkpoint
generation=180, runtime=1074.06s, best_objective=1455571.107500, note=checkpoint
generation=181, runtime=1081.29s, best_objective=1455571.107500, note=checkpoint
generation=182, runtime=1089.77s, best_objective=1455571.107500, note=checkpoint
generation=183, runtime=1095.25s, best_objective=1455571.107500, note=checkpoint
generation=184, runtime=1103.67s, best_objective=1455571.107500, note=checkpoint
generation=185, runtime=1114.86s, best_objective=1455571.107500, note=checkpoint
generation=186, runtime=1124.54s, best_objective=1455571.107500, note=checkpoint
generation=187, runtime=1131.48s, best_objective=1455571.107500, note=checkpoint
generation=188, runtime=1138.22s, best_objective=1455571.107500, note=checkpoint
generation=189, runtime=1144.85s, best_objective=1455571.107500, note=checkpoint
generation=190, runtime=1151.35s, best_objective=1455571.107500, note=checkpoint
generation=191, runtime=1160.36s, best_objective=1455571.107500, note=checkpoint
generation=192, runtime=1168.92s, best_objective=1455571.107500, note=checkpoint
generation=193, runtime=1176.19s, best_objective=1455571.107500, note=checkpoint
generation=194, runtime=1182.90s, best_objective=1455571.107500, note=checkpoint
generation=195, runtime=1189.01s, best_objective=1455571.107500, note=checkpoint
generation=196, runtime=1197.36s, best_objective=1455571.107500, note=checkpoint
generation=197, runtime=1203.67s, best_objective=1455571.107500, note=checkpoint
generation=198, runtime=1209.56s, best_objective=1455571.107500, note=checkpoint
generation=199, runtime=1215.96s, best_objective=1455571.107500, note=checkpoint
generation=200, runtime=1222.42s, best_objective=1455571.107500, note=checkpoint
generation=201, runtime=1228.90s, best_objective=1455571.107500, note=checkpoint
generation=202, runtime=1235.01s, best_objective=1455571.107500, note=checkpoint
generation=203, runtime=1241.67s, best_objective=1455571.107500, note=checkpoint
generation=204, runtime=1247.85s, best_objective=1455571.107500, note=checkpoint
generation=205, runtime=1254.93s, best_objective=1455571.107500, note=checkpoint
generation=206, runtime=1262.19s, best_objective=1455571.107500, note=checkpoint
generation=207, runtime=1268.86s, best_objective=1455571.107500, note=checkpoint
generation=208, runtime=1275.25s, best_objective=1455571.107500, note=checkpoint
generation=209, runtime=1281.93s, best_objective=1455571.107500, note=checkpoint
generation=210, runtime=1288.70s, best_objective=1455571.107500, note=checkpoint
generation=211, runtime=1295.00s, best_objective=1455571.107500, note=checkpoint
generation=212, runtime=1301.38s, best_objective=1455571.107500, note=checkpoint
generation=213, runtime=1307.53s, best_objective=1455571.107500, note=checkpoint
generation=214, runtime=1313.77s, best_objective=1455571.107500, note=checkpoint
generation=215, runtime=1319.91s, best_objective=1455571.107500, note=checkpoint
generation=216, runtime=1326.48s, best_objective=1455571.107500, note=checkpoint
generation=217, runtime=1332.81s, best_objective=1455571.107500, note=checkpoint
generation=218, runtime=1339.55s, best_objective=1455571.107500, note=checkpoint
generation=219, runtime=1346.34s, best_objective=1455571.107500, note=checkpoint
generation=220, runtime=1352.89s, best_objective=1455571.107500, note=checkpoint
generation=221, runtime=1359.72s, best_objective=1455571.107500, note=checkpoint
generation=222, runtime=1366.41s, best_objective=1455571.107500, note=checkpoint
