generation=167, runtime=852.04s, best_objective=1455256.562400, note=checkpoint
generation=168, runtime=855.68s, best_objective=1455256.562400, note=checkpoint
generation=169, runtime=859.33s, best_objective=1455256.562400, note=checkpoint
generation=170, runtime=863.26s, best_objective=1455256.562400, note=checkpoint
generation=171, runtime=866.96s, best_objective=1455256.562400, note=checkpoint
generation=172, runtime=870.34s, best_objective=1455256.562400, note=checkpoint
generation=173, runtime=873.99s, best_objective=1455256.562400, note=checkpoint
generation=174, runtime=877.86s, best_objective=1455256.562400, note=checkpoint
generation=175, runtime=881.46s, best_objective=1455256.562400, note=checkpoint
generation=176, runtime=885.59s, best_objective=1455256.562400, note=checkpoint
generation=177, runtime=890.52s, best_objective=1455256.562400, note=checkpoint
generation=178, runtime=894.34s, best_objective=1455256.562400, note=checkpoint
generation=179, runtime=899.26s, best_objective=1455256.562400, note=checkpoint
generation=180, runtime=904.91s, best_objective=1455256.562400, note=checkpoint
generation=181, runtime=908.58s, best_objective=1455256.562400, note=checkpoint
generation=182, runtime=912.11s, best_objective=1455256.562400, note=checkpoint
generation=183, runtime=915.61s, best_objective=1455256.562400, note=checkpoint
generation=184, runtime=919.89s, best_objective=1455256.562400, note=checkpoint
generation=185, runtime=924.20s, best_objective=1455256.562400, note=checkpoint
generation=186, runtime=927.86s, best_objective=1455256.562400, note=checkpoint
generation=187, runtime=932.95s, best_objective=1455256.562400, note=checkpoint
generation=188, runtime=937.63s, best_objective=1455256.562400, note=checkpoint
generation=189, runtime=946.00s, best_objective=1455256.562400, note=checkpoint
generation=190, runtime=951.48s, best_objective=1455256.562400, note=checkpoint
generation=191, runtime=958.14s, best_objective=1455256.562400, note=checkpoint
generation=192, runtime=964.23s, best_objective=1455256.562400, note=checkpoint
generation=193, runtime=969.26s, best_objective=1455256.562400, note=checkpoint
generation=194, runtime=973.36s, best_objective=1455256.562400, note=checkpoint
generation=195, runtime=977.80s, best_objective=1455256.562400, note=checkpoint
generation=196, runtime=982.27s, best_objective=1455256.562400, note=checkpoint
generation=197, runtime=986.72s, best_objective=1455256.562400, note=checkpoint
generation=198, runtime=991.12s, best_objective=1455256.562400, note=checkpoint
generation=199, runtime=995.51s, best_objective=1455256.562400, note=checkpoint
generation=200, runtime=1017.51s, best_objective=1455022.311000, note=elitism 1/3
generation=200, runtime=1035.41s, best_objective=1455022.311000, note=elitism 2/3
generation=200, runtime=1045.25s, best_objective=1455022.311000, note=elitism 3/3
generation=200, runtime=1045.26s, best_objective=1455022.311000, note=checkpoint
generation=201, runtime=1048.92s, best_objective=1455022.311000, note=checkpoint
generation=202, runtime=1052.53s, best_objective=1455022.311000, note=checkpoint
generation=203, runtime=1056.14s, best_objective=1455022.311000, note=checkpoint
generation=204, runtime=1059.71s, best_objective=1455022.311000, note=checkpoint
generation=205, runtime=1065.81s, best_objective=1455022.311000, note=checkpoint
generation=206, runtime=1071.92s, best_objective=1455022.311000, note=checkpoint
generation=207, runtime=1076.19s, best_objective=1455022.311000, note=checkpoint
generation=208, runtime=1080.16s, best_objective=1455022.311000, note=checkpoint
generation=209, runtime=1084.08s, best_objective=1455022.311000, note=checkpoint
generation=210, runtime=1087.85s, best_objective=1455022.311000, note=checkpoint
generation=211, runtime=1091.43s, best_objective=1455022.311000, note=checkpoint
generation=212, runtime=1095.64s, best_objective=1455022.311000, note=checkpoint
generation=213, runtime=1099.50s, best_objective=1455022.311000, note=checkpoint
generation=214, runtime=1103.41s, best_objective=1455022.311000, note=checkpoint
generation=215, runtime=1107.25s, best_objective=1455022.311000, note=checkpoint
generation=216, runtime=1110.83s, best_objective=1455022.311000, note=checkpoint
generation=217, runtime=1114.50s, best_objective=1455022.311000, note=checkpoint
generation=218, runtime=1118.14s, best_objective=1455022.311000, note=checkpoint
generation=219, runtime=1121.90s, best_objective=1455022.311000, note=checkpoint
generation=220, runtime=1125.69s, best_objective=1455022.311000, note=checkpoint
generation=221, runtime=1129.27s, best_objective=1455022.311000, note=checkpoint
generation=222, runtime=1133.03s, best_objective=1455022.311000, note=checkpoint
generation=223, runtime=1136.81s, best_objective=1455022.311000, note=checkpoint
generation=224, runtime=1140.40s, best_objective=1455022.311000, note=checkpoint
generation=225, runtime=1144.37s, best_objective=1455022.311000, note=checkpoint
generation=226, runtime=1148.23s, best_objective=1455022.311000, note=checkpoint
generation=227, runtime=1152.07s, best_objective=1455022.311000, note=checkpoint
generation=228, runtime=1156.49s, best_objective=1455022.311000, note=checkpoint
generation=229, runtime=1162.17s, best_objective=1455022.311000, note=checkpoint
generation=230, runtime=1165.65s, best_objective=1455022.311000, note=checkpoint
generation=231, runtime=1169.06s, best_objective=1455022.311000, note=checkpoint
generation=232, runtime=1172.40s, best_objective=1455022.311000, note=checkpoint
generation=233, runtime=1175.86s, best_objective=1455022.311000, note=checkpoint
generation=234, runtime=1179.87s, best_objective=1455022.311000, note=checkpoint
generation=235, runtime=1183.36s, best_objective=1455022.311000, note=checkpoint
generation=236, runtime=1186.83s, best_objective=1455022.311000, note=checkpoint
generation=237, runtime=1190.25s, best_objective=1455022.311000, note=checkpoint
generation=238, runtime=1193.53s, best_objective=1455022.311000, note=checkpoint
generation=239, runtime=1196.97s, best_objective=1455022.311000, note=checkpoint
generation=240, runtime=1200.65s, best_objective=1455022.311000, note=checkpoint
generation=241, runtime=1204.31s, best_objective=1455022.311000, note=checkpoint
generation=242, runtime=1207.87s, best_objective=1455022.311000, note=checkpoint
generation=243, runtime=1211.32s, best_objective=1455022.311000, note=checkpoint
generation=244, runtime=1214.66s, best_objective=1455022.311000, note=checkpoint
generation=245, runtime=1218.12s, best_objective=1455022.311000, note=checkpoint
generation=246, runtime=1222.50s, best_objective=1455022.311000, note=checkpoint
generation=247, runtime=1226.43s, best_objective=1455022.311000, note=checkpoint
generation=248, runtime=1229.95s, best_objective=1455022.311000, note=checkpoint
generation=249, runtime=1233.29s, best_objective=1455022.311000, note=checkpoint
generation=250, runtime=1256.16s, best_objective=1454970.217800, note=elitism 1/3
generation=250, runtime=1271.02s, best_objective=1454970.217800, note=elitism 2/3
generation=250, runtime=1279.24s, best_objective=1454970.217800, note=elitism 3/3
generation=250, runtime=1279.24s, best_objective=1454970.217800, note=checkpoint
generation=251, runtime=1282.56s, best_objective=1454970.217800, note=checkpoint
generation=252, runtime=1285.87s, best_objective=1454970.217800, note=checkpoint
generation=253, runtime=1289.47s, best_objective=1454970.217800, note=checkpoint
generation=254, runtime=1292.98s, best_objective=1454970.217800, note=checkpoint
generation=255, runtime=1296.30s, best_objective=1454970.217800, note=checkpoint
generation=256, runtime=1299.67s, best_objective=1454970.217800, note=checkpoint
generation=257, runtime=1303.03s, best_objective=1454970.217800, note=checkpoint
generation=258, runtime=1307.89s, best_objective=1454970.217800, note=checkpoint
generation=259, runtime=1313.28s, best_objective=1454970.217800, note=checkpoint
generation=260, runtime=1318.70s, best_objective=1454970.217800, note=checkpoint
generation=261, runtime=1323.88s, best_objective=1454970.217800, note=checkpoint
generation=262, runtime=1327.70s, best_objective=1454970.217800, note=checkpoint
generation=263, runtime=1331.46s, best_objective=1454970.217800, note=checkpoint
generation=264, runtime=1334.93s, best_objective=1454970.217800, note=checkpoint
generation=265, runtime=1338.61s, best_objective=1454970.217800, note=checkpoint
generation=266, runtime=1342.12s, best_objective=1454970.217800, note=checkpoint
generation=267, runtime=1345.86s, best_objective=1454970.217800, note=checkpoint
generation=268, runtime=1349.34s, best_objective=1454970.217800, note=checkpoint
generation=269, runtime=1353.04s, best_objective=1454970.217800, note=checkpoint
generation=270, runtime=1356.41s, best_objective=1454970.217800, note=checkpoint
generation=271, runtime=1359.67s, best_objective=1454970.217800, note=checkpoint
generation=272, runtime=1363.05s, best_objective=1454970.217800, note=checkpoint
generation=273, runtime=1366.41s, best_objective=1454970.217800, note=checkpoint
generation=274, runtime=1370.06s, best_objective=1454970.217800, note=checkpoint
generation=275, runtime=1373.54s, best_objective=1454970.217800, note=checkpoint
generation=276, runtime=1376.88s, best_objective=1454970.217800, note=checkpoint
generation=277, runtime=1380.21s, best_objective=1454970.217800, note=checkpoint
generation=278, runtime=1385.83s, best_objective=1454970.217800, note=checkpoint
generation=279, runtime=1389.47s, best_objective=1454970.217800, note=checkpoint
generation=280, runtime=1393.03s, best_objective=1454970.217800, note=checkpoint
generation=281, runtime=1396.47s, best_objective=1454970.217800, note=checkpoint
generation=282, runtime=1399.82s, best_objective=1454970.217800, note=checkpoint
generation=283, runtime=1403.63s, best_objective=1454970.217800, note=checkpoint
generation=284, runtime=1407.13s, best_objective=1454970.217800, note=checkpoint
generation=285, runtime=1410.73s, best_objective=1454970.217800, note=checkpoint
generation=286, runtime=1414.20s, best_objective=1454970.217800, note=checkpoint
generation=287, runtime=1417.52s, best_objective=1454970.217800, note=checkpoint
generation=288, runtime=1420.84s, best_objective=1454970.217800, note=checkpoint
generation=289, runtime=1424.28s, best_objective=1454970.217800, note=checkpoint
generation=290, runtime=1427.69s, best_objective=1454970.217800, note=checkpoint
generation=291, runtime=1431.82s, best_objective=1454970.217800, note=checkpoint
generation=292, runtime=1435.37s, best_objective=1454970.217800, note=checkpoint
generation=293, runtime=1438.95s, best_objective=1454970.217800, note=checkpoint
generation=294, runtime=1442.44s, best_objective=1454970.217800, note=checkpoint
generation=295, runtime=1446.02s, best_objective=1454970.217800, note=checkpoint
generation=296, runtime=1449.56s, best_objective=1454970.217800, note=checkpoint
generation=297, runtime=1453.01s, best_objective=1454970.217800, note=checkpoint
generation=298, runtime=1456.49s, best_objective=1454970.217800, note=checkpoint
generation=299, runtime=1459.84s, best_objective=1454970.217800, note=checkpoint
generation=300, runtime=1485.80s, best_objective=1454943.188300, note=elitism 1/3
generation=300, runtime=1504.88s, best_objective=1454943.188300, note=elitism 2/3
generation=300, runtime=1523.94s, best_objective=1454943.188300, note=elitism 3/3
generation=300, runtime=1523.95s, best_objective=1454943.188300, note=checkpoint
generation=301, runtime=1528.73s, best_objective=1454943.188300, note=checkpoint
generation=302, runtime=1532.88s, best_objective=1454943.188300, note=checkpoint
generation=303, runtime=1536.41s, best_objective=1454943.188300, note=checkpoint
generation=304, runtime=1539.85s, best_objective=1454943.188300, note=checkpoint
generation=305, runtime=1543.83s, best_objective=1454943.188300, note=checkpoint
generation=306, runtime=1548.15s, best_objective=1454943.188300, note=checkpoint
generation=307, runtime=1551.90s, best_objective=1454943.188300, note=checkpoint
generation=308, runtime=1555.49s, best_objective=1454943.188300, note=checkpoint
generation=309, runtime=1558.93s, best_objective=1454943.188300, note=checkpoint
generation=310, runtime=1562.26s, best_objective=1454943.188300, note=checkpoint
generation=311, runtime=1565.64s, best_objective=1454943.188300, note=checkpoint
generation=312, runtime=1569.06s, best_objective=1454943.188300, note=checkpoint
generation=313, runtime=1572.90s, best_objective=1454943.188300, note=checkpoint
generation=314, runtime=1576.29s, best_objective=1454943.188300, note=checkpoint
generation=315, runtime=1579.90s, best_objective=1454943.188300, note=checkpoint
generation=316, runtime=1583.28s, best_objective=1454943.188300, note=checkpoint
generation=317, runtime=1586.64s, best_objective=1454943.188300, note=checkpoint
generation=318, runtime=1590.35s, best_objective=1454943.188300, note=checkpoint
generation=319, runtime=1593.95s, best_objective=1454943.188300, note=checkpoint
generation=320, runtime=1597.37s, best_objective=1454943.188300, note=checkpoint
generation=321, runtime=1601.37s, best_objective=1454943.188300, note=checkpoint
generation=322, runtime=1605.01s, best_objective=1454943.188300, note=checkpoint
generation=323, runtime=1608.47s, best_objective=1454943.188300, note=checkpoint
